X,Y,FID,GEODB_OID,GEODB_SUBT,OBJECTID,ASSETID,OWNER,MAINTRESP,LOCATIONID,IMAGEPATH,BIKEPARKTY,NUMSPACES,NUMUNITS,BPLEVEL,BPSTYLE,FINISH,MOUNTING,COVERED,BPFUND,ROTATION
-122.682861362295498,45.507979148870653,2110,2216,BPRackST,2216,5220-0002908,PDXTRANS,PDXTRANS,BF62958, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.674717602155724,45.518736062344487,2111,2015,BPRackST,2015,5220-0000903,PDXTRANS,PDXTRANS,BF58260, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.685886567788131,45.518673688805301,2112,2614,BPRackST,2614,5220-0002946,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.681049959398948,45.530169221965352,2113,2314,BPRackST,2314,5220-0002752,PDXTRANS,PDXTRANS,BF29859, ,5220,0,0, ,STAPLE, , , ,Y,0
-122.684292834131895,45.528769803344623,2114,2816,BPRackST,2816,5220-0003142,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.69850977170654,45.529554568146786,2115,2514,BPRackST,2514,5220-0004078,PDXTRANS,PDXTRANS,BF27868, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.676629710683571,45.52678913012879,2116,2714,BPRackST,2714,5220-0003042,PDXTRANS,PDXTRANS,BF28228, ,5220,2,0, ,STNLES, , , , ,180
-122.683048396482548,45.518469728878713,2117,2114,BPRackST,2114,5220-0001803,PDXTRANS,PDXTRANS,BF54637, ,5220,0,0, ,STAPLE, , , , ,0
-122.682073984084255,45.530007866200414,2118,2315,BPRackST,2315,5220-0002753,PDXTRANS,PDXTRANS,BF29836, ,5220,0,0, ,STAPLE, , , , ,0
-122.68586003831787,45.518666172827274,2119,2615,BPRackST,2615,5220-0002947,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.682826268158578,45.507978513787421,2120,2217,BPRackST,2217,5220-0002909,PDXTRANS,PDXTRANS,BF62958, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.674450088269154,45.518787492187045,2121,2016,BPRackST,2016,5220-0002055,PDXTRANS,PDXTRANS,BF58280, ,5220,0,0, ,STAPLE, , , , ,0
-122.684281530243737,45.528770171186771,2122,2817,BPRackST,2817,5220-0003143,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.683342294244142,45.51723091169346,2123,2115,BPRackST,2115,5220-0002787,PDXTRANS,PDXTRANS,BF63184, ,5220,0,0, ,RIBBON, , , , ,0
-122.698820013351224,45.526169243314541,2124,2515,BPRackST,2515,5220-0004079,PDXTRANS,PDXTRANS,BF29246, ,5220,1,0, ,STAPLE, , ,N,N,0
-122.676630693159893,45.52681475631443,2125,2715,BPRackST,2715,5220-0003043,PDXTRANS,PDXTRANS,BF28228, ,5220,2,0, ,STNLES, , , , ,180
-122.681897548782572,45.530010984947936,2126,2316,BPRackST,2316,5220-0002754,PDXTRANS,PDXTRANS,BF29836, ,5220,0,0, ,STAPLE, , , , ,0
-122.685832400383902,45.518659480784649,2127,2616,BPRackST,2616,5220-0002948,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.682791173069035,45.507977878058433,2128,2218,BPRackST,2218,5220-0002910,PDXTRANS,PDXTRANS,BF62958, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.684721119349646,45.509326468284684,2129,2017,BPRackST,2017,5220-0001911,PDXTRANS,PDXTRANS,BF62469, ,5220,0,0, ,STAPLE, , , , ,65
-122.684270426205771,45.52877007628156,2130,2818,BPRackST,2818,5220-0003144,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.677903758248263,45.522923084593685,2131,2116,BPRackST,2116,5220-0002791,PDXTRANS,PDXTRANS,BF67327, ,5220,2,0, ,STAPLE, , ,N, ,0
-122.676637779045933,45.526959944342046,2132,2716,BPRackST,2716,5220-0003044,PDXTRANS,PDXTRANS,BF28228, ,5220,2,0, ,STNLES, , , , ,180
-122.611055391492272,45.512091823297347,2133,2617,BPRackST,2617,5220-0002413,PDXTRANS,PDXTRANS,BF46317, ,5220,0,0, ,STAPLE, , , , ,0
